option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315C00470000,2024-03-11,1710164940000,2024-03-11T09:49:00-04:00,40.65,40.65,40.65,40.65,2,40.65,1,
O:SPY240315C00470000,2024-03-11,1710165159000,2024-03-11T09:52:39-04:00,40.41,40.41,40.41,40.41,6,40.41,2,
O:SPY240315C00470000,2024-03-11,1710165772000,2024-03-11T10:02:52-04:00,39.49,39.49,39.49,39.49,1,39.49,1,
O:SPY240315C00470000,2024-03-11,1710166524000,2024-03-11T10:15:24-04:00,39.15,39.17,39.15,39.17,27,39.1581,3,
O:SPY240315C00470000,2024-03-11,1710167187000,2024-03-11T10:26:27-04:00,39.15,39.15,39.15,39.15,1,39.15,1,
O:SPY240315C00470000,2024-03-11,1710167451000,2024-03-11T10:30:51-04:00,39.88,39.92,39.88,39.92,26,39.8892,3,
O:SPY240315C00470000,2024-03-11,1710167551000,2024-03-11T10:32:31-04:00,40.02,40.02,40.02,40.02,2,40.02,1,
O:SPY240315C00470000,2024-03-11,1710169360000,2024-03-11T11:02:40-04:00,41.24,41.24,41.24,41.24,1,41.24,1,
O:SPY240315C00470000,2024-03-11,1710174240000,2024-03-11T12:24:00-04:00,41.25,41.25,41.25,41.25,1,41.25,1,
O:SPY240315C00470000,2024-03-11,1710177891000,2024-03-11T13:24:51-04:00,41.41,41.41,41.41,41.41,1,41.41,1,
O:SPY240315C00470000,2024-03-11,1710178756000,2024-03-11T13:39:16-04:00,41.34,41.34,41.34,41.34,1,41.34,1,
O:SPY240315C00470000,2024-03-11,1710184926000,2024-03-11T15:22:06-04:00,41.58,41.58,41.46,41.46,2,41.52,2,
O:SPY240315C00470000,2024-03-11,1710186209000,2024-03-11T15:43:29-04:00,41.86,41.86,41.86,41.86,1,41.86,1,
O:SPY240315C00470000,2024-03-12,1710250200000,2024-03-12T09:30:00-04:00,43.75,43.75,43.75,43.75,25,43.75,1,
O:SPY240315C00470000,2024-03-12,1710250655000,2024-03-12T09:37:35-04:00,42.15,42.15,42.15,42.15,6,42.15,1,
O:SPY240315C00470000,2024-03-12,1710251096000,2024-03-12T09:44:56-04:00,41.77,41.77,41.77,41.77,4,41.77,1,
O:SPY240315C00470000,2024-03-12,1710251337000,2024-03-12T09:48:57-04:00,41.24,41.24,41.24,41.24,1,41.24,1,
O:SPY240315C00470000,2024-03-12,1710251381000,2024-03-12T09:49:41-04:00,41.5,41.5,41.5,41.5,1,41.5,1,
O:SPY240315C00470000,2024-03-12,1710252081000,2024-03-12T10:01:21-04:00,43.63,43.63,43.63,43.63,10,43.63,2,
O:SPY240315C00470000,2024-03-12,1710252839000,2024-03-12T10:13:59-04:00,43.8,43.8,43.8,43.8,1,43.8,1,
O:SPY240315C00470000,2024-03-12,1710252948000,2024-03-12T10:15:48-04:00,44.02,44.02,44.02,44.02,2,44.02,1,
O:SPY240315C00470000,2024-03-12,1710253806000,2024-03-12T10:30:06-04:00,45.42,45.42,45.42,45.42,1,45.42,1,
O:SPY240315C00470000,2024-03-12,1710253944000,2024-03-12T10:32:24-04:00,45.85,45.85,45.85,45.85,1,45.85,1,
O:SPY240315C00470000,2024-03-12,1710255150000,2024-03-12T10:52:30-04:00,46.71,46.71,46.71,46.71,1,46.71,1,
O:SPY240315C00470000,2024-03-12,1710257589000,2024-03-12T11:33:09-04:00,46.32,46.32,46.32,46.32,10,46.32,1,
O:SPY240315C00470000,2024-03-12,1710259496000,2024-03-12T12:04:56-04:00,45.5,45.5,45.5,45.5,1,45.5,1,
O:SPY240315C00470000,2024-03-12,1710261212000,2024-03-12T12:33:32-04:00,45.28,45.28,45.28,45.28,1,45.28,1,
O:SPY240315C00470000,2024-03-12,1710261589000,2024-03-12T12:39:49-04:00,44.85,44.86,44.85,44.86,5,44.852,2,
O:SPY240315C00470000,2024-03-12,1710261913000,2024-03-12T12:45:13-04:00,44.4,44.4,44.4,44.4,2,44.4,1,
O:SPY240315C00470000,2024-03-12,1710263081000,2024-03-12T13:04:41-04:00,44.36,44.36,44.36,44.36,10,44.36,1,
O:SPY240315C00470000,2024-03-12,1710263094000,2024-03-12T13:04:54-04:00,44.38,44.38,44.38,44.38,1,44.38,1,
O:SPY240315C00470000,2024-03-12,1710263375000,2024-03-12T13:09:35-04:00,44.09,44.09,44.09,44.09,1,44.09,1,
O:SPY240315C00470000,2024-03-12,1710265179000,2024-03-12T13:39:39-04:00,45.68,45.68,45.68,45.68,1,45.68,1,
O:SPY240315C00470000,2024-03-12,1710266048000,2024-03-12T13:54:08-04:00,45.6,45.6,45.6,45.6,2,45.6,1,
O:SPY240315C00470000,2024-03-12,1710268162000,2024-03-12T14:29:22-04:00,46.63,46.63,46.63,46.63,1,46.63,1,
O:SPY240315C00470000,2024-03-12,1710268636000,2024-03-12T14:37:16-04:00,47.06,47.06,47.06,47.06,2,47.06,1,
O:SPY240315C00470000,2024-03-12,1710270491000,2024-03-12T15:08:11-04:00,47.06,47.06,47.05,47.05,3,47.0533,3,
O:SPY240315C00470000,2024-03-12,1710271802000,2024-03-12T15:30:02-04:00,47.4,47.4,47.4,47.4,1,47.4,1,
O:SPY240315C00470000,2024-03-12,1710272661000,2024-03-12T15:44:21-04:00,47.18,47.18,47.18,47.18,1,47.18,1,
