option,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240322P00470000,1710163800000,2024-03-11T09:30:00-04:00,0.28,0.28,0.28,0.28,25,0.28,1,
O:SPY240322P00470000,1710163980000,2024-03-11T09:33:00-04:00,0.29,0.29,0.28,0.28,173,0.2814,4,
O:SPY240322P00470000,1710165120000,2024-03-11T09:52:00-04:00,0.29,0.29,0.29,0.29,9,0.29,1,
O:SPY240322P00470000,1710166140000,2024-03-11T10:09:00-04:00,0.32,0.32,0.32,0.32,1,0.32,1,
O:SPY240322P00470000,1710166620000,2024-03-11T10:17:00-04:00,0.31,0.31,0.31,0.31,1,0.31,1,
O:SPY240322P00470000,1710166680000,2024-03-11T10:18:00-04:00,0.31,0.31,0.31,0.31,4,0.31,1,
O:SPY240322P00470000,1710166800000,2024-03-11T10:20:00-04:00,0.29,0.29,0.29,0.29,20,0.29,2,
O:SPY240322P00470000,1710168060000,2024-03-11T10:41:00-04:00,0.31,0.31,0.31,0.31,1,0.31,1,
O:SPY240322P00470000,1710169920000,2024-03-11T11:12:00-04:00,0.29,0.29,0.29,0.29,5,0.29,1,
O:SPY240322P00470000,1710170640000,2024-03-11T11:24:00-04:00,0.3,0.3,0.3,0.3,1,0.3,1,
O:SPY240322P00470000,1710171360000,2024-03-11T11:36:00-04:00,0.28,0.28,0.28,0.28,1,0.28,1,
O:SPY240322P00470000,1710171420000,2024-03-11T11:37:00-04:00,0.27,0.27,0.27,0.27,1,0.27,1,
O:SPY240322P00470000,1710171900000,2024-03-11T11:45:00-04:00,0.27,0.27,0.27,0.27,1,0.27,1,
O:SPY240322P00470000,1710172740000,2024-03-11T11:59:00-04:00,0.26,0.26,0.26,0.26,2,0.26,2,
O:SPY240322P00470000,1710173760000,2024-03-11T12:16:00-04:00,0.27,0.27,0.27,0.27,1,0.27,1,
O:SPY240322P00470000,1710174840000,2024-03-11T12:34:00-04:00,0.26,0.26,0.26,0.26,1,0.26,1,
O:SPY240322P00470000,1710174900000,2024-03-11T12:35:00-04:00,0.27,0.27,0.27,0.27,1,0.27,1,
O:SPY240322P00470000,1710175260000,2024-03-11T12:41:00-04:00,0.26,0.26,0.26,0.26,1,0.26,1,
O:SPY240322P00470000,1710175980000,2024-03-11T12:53:00-04:00,0.25,0.25,0.25,0.25,1,0.25,1,
O:SPY240322P00470000,1710177540000,2024-03-11T13:19:00-04:00,0.25,0.25,0.25,0.25,1,0.25,1,
O:SPY240322P00470000,1710177600000,2024-03-11T13:20:00-04:00,0.25,0.25,0.25,0.25,1,0.25,1,
O:SPY240322P00470000,1710178320000,2024-03-11T13:32:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710179700000,2024-03-11T13:55:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710180240000,2024-03-11T14:04:00-04:00,0.23,0.23,0.23,0.23,8,0.23,6,
O:SPY240322P00470000,1710180300000,2024-03-11T14:05:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710181860000,2024-03-11T14:31:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710182460000,2024-03-11T14:41:00-04:00,0.23,0.23,0.23,0.23,1,0.23,1,
O:SPY240322P00470000,1710182640000,2024-03-11T14:44:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710183000000,2024-03-11T14:50:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710183240000,2024-03-11T14:54:00-04:00,0.24,0.24,0.24,0.24,1,0.24,1,
O:SPY240322P00470000,1710186120000,2024-03-11T15:42:00-04:00,0.25,0.25,0.25,0.25,1,0.25,1,
O:SPY240322P00470000,1710186300000,2024-03-11T15:45:00-04:00,0.24,0.24,0.24,0.24,46,0.24,2,
O:SPY240322P00470000,1710186720000,2024-03-11T15:52:00-04:00,0.26,0.26,0.26,0.26,1,0.26,1,
O:SPY240322P00470000,1710186900000,2024-03-11T15:55:00-04:00,0.25,0.25,0.25,0.25,10,0.25,10,
O:SPY240322P00470000,1710187020000,2024-03-11T15:57:00-04:00,0.25,0.25,0.25,0.25,1,0.25,1,
O:SPY240322P00470000,1710250200000,2024-03-12T09:30:00-04:00,0.18,0.18,0.17,0.17,4,0.1775,2,
O:SPY240322P00470000,1710250440000,2024-03-12T09:34:00-04:00,0.16,0.16,0.16,0.16,1,0.16,1,
O:SPY240322P00470000,1710250740000,2024-03-12T09:39:00-04:00,0.19,0.19,0.19,0.19,1,0.19,1,
O:SPY240322P00470000,1710251520000,2024-03-12T09:52:00-04:00,0.2,0.2,0.2,0.2,1,0.2,1,
O:SPY240322P00470000,1710251700000,2024-03-12T09:55:00-04:00,0.18,0.18,0.18,0.18,10,0.18,1,
O:SPY240322P00470000,1710251880000,2024-03-12T09:58:00-04:00,0.18,0.18,0.18,0.18,5,0.18,1,
O:SPY240322P00470000,1710252120000,2024-03-12T10:02:00-04:00,0.17,0.17,0.17,0.17,5,0.17,1,
O:SPY240322P00470000,1710252840000,2024-03-12T10:14:00-04:00,0.17,0.17,0.17,0.17,10,0.17,1,
O:SPY240322P00470000,1710253380000,2024-03-12T10:23:00-04:00,0.16,0.16,0.16,0.16,10,0.16,1,
O:SPY240322P00470000,1710253440000,2024-03-12T10:24:00-04:00,0.15,0.15,0.15,0.15,1,0.15,1,
O:SPY240322P00470000,1710253980000,2024-03-12T10:33:00-04:00,0.15,0.15,0.15,0.15,3,0.15,1,
O:SPY240322P00470000,1710254280000,2024-03-12T10:38:00-04:00,0.15,0.15,0.15,0.15,1,0.15,1,
O:SPY240322P00470000,1710254640000,2024-03-12T10:44:00-04:00,0.15,0.15,0.15,0.15,5,0.15,1,
O:SPY240322P00470000,1710254820000,2024-03-12T10:47:00-04:00,0.14,0.14,0.14,0.14,5,0.14,1,
O:SPY240322P00470000,1710256620000,2024-03-12T11:17:00-04:00,0.14,0.14,0.14,0.14,10,0.14,1,
O:SPY240322P00470000,1710256800000,2024-03-12T11:20:00-04:00,0.14,0.14,0.14,0.14,10,0.14,1,
O:SPY240322P00470000,1710257940000,2024-03-12T11:39:00-04:00,0.14,0.15,0.14,0.15,17,0.1412,3,
O:SPY240322P00470000,1710260940000,2024-03-12T12:29:00-04:00,0.15,0.15,0.15,0.15,40,0.15,1,
O:SPY240322P00470000,1710264060000,2024-03-12T13:21:00-04:00,0.14,0.14,0.14,0.14,1,0.14,1,
O:SPY240322P00470000,1710265560000,2024-03-12T13:46:00-04:00,0.14,0.14,0.14,0.14,2,0.14,1,
O:SPY240322P00470000,1710265800000,2024-03-12T13:50:00-04:00,0.14,0.14,0.14,0.14,3,0.14,2,
O:SPY240322P00470000,1710267120000,2024-03-12T14:12:00-04:00,0.13,0.13,0.13,0.13,9,0.13,6,
O:SPY240322P00470000,1710270300000,2024-03-12T15:05:00-04:00,0.14,0.14,0.14,0.14,1,0.14,1,
O:SPY240322P00470000,1710271800000,2024-03-12T15:30:00-04:00,0.13,0.13,0.13,0.13,1,0.13,1,
O:SPY240322P00470000,1710272160000,2024-03-12T15:36:00-04:00,0.13,0.13,0.13,0.13,1,0.13,1,
O:SPY240322P00470000,1710272220000,2024-03-12T15:37:00-04:00,0.13,0.13,0.13,0.13,2,0.13,1,
O:SPY240322P00470000,1710272640000,2024-03-12T15:44:00-04:00,0.13,0.13,0.13,0.13,3,0.13,1,
O:SPY240322P00470000,1710336600000,2024-03-13T09:30:00-04:00,0.12,0.12,0.12,0.12,1,0.12,1,
O:SPY240322P00470000,1710337740000,2024-03-13T09:49:00-04:00,0.12,0.12,0.12,0.12,10,0.12,1,
O:SPY240322P00470000,1710339660000,2024-03-13T10:21:00-04:00,0.12,0.12,0.12,0.12,50,0.12,1,
O:SPY240322P00470000,1710340260000,2024-03-13T10:31:00-04:00,0.12,0.12,0.12,0.12,10,0.12,1,
O:SPY240322P00470000,1710341280000,2024-03-13T10:48:00-04:00,0.13,0.13,0.13,0.13,5,0.13,1,
O:SPY240322P00470000,1710348780000,2024-03-13T12:53:00-04:00,0.12,0.12,0.12,0.12,1,0.12,1,
O:SPY240322P00470000,1710353280000,2024-03-13T14:08:00-04:00,0.12,0.12,0.12,0.12,10,0.12,3,
O:SPY240322P00470000,1710358440000,2024-03-13T15:34:00-04:00,0.12,0.12,0.12,0.12,20,0.12,1,
O:SPY240322P00470000,1710423960000,2024-03-14T09:46:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240322P00470000,1710424260000,2024-03-14T09:51:00-04:00,0.12,0.12,0.12,0.12,5,0.12,1,
O:SPY240322P00470000,1710426300000,2024-03-14T10:25:00-04:00,0.13,0.13,0.13,0.13,50,0.13,2,
O:SPY240322P00470000,1710426780000,2024-03-14T10:33:00-04:00,0.12,0.12,0.12,0.12,16,0.12,2,
O:SPY240322P00470000,1710427620000,2024-03-14T10:47:00-04:00,0.12,0.12,0.12,0.12,10,0.12,1,
O:SPY240322P00470000,1710430140000,2024-03-14T11:29:00-04:00,0.13,0.13,0.13,0.13,20,0.13,1,
O:SPY240322P00470000,1710430200000,2024-03-14T11:30:00-04:00,0.14,0.14,0.14,0.14,27,0.14,10,
O:SPY240322P00470000,1710430380000,2024-03-14T11:33:00-04:00,0.14,0.14,0.14,0.14,7,0.14,3,
O:SPY240322P00470000,1710430680000,2024-03-14T11:38:00-04:00,0.13,0.13,0.13,0.13,4,0.13,1,
O:SPY240322P00470000,1710432660000,2024-03-14T12:11:00-04:00,0.14,0.14,0.14,0.14,3,0.14,1,
O:SPY240322P00470000,1710432900000,2024-03-14T12:15:00-04:00,0.15,0.15,0.15,0.15,64,0.15,2,
O:SPY240322P00470000,1710436980000,2024-03-14T13:23:00-04:00,0.14,0.14,0.14,0.14,3,0.14,1,
O:SPY240322P00470000,1710437640000,2024-03-14T13:34:00-04:00,0.14,0.14,0.14,0.14,3,0.14,1,
O:SPY240322P00470000,1710437700000,2024-03-14T13:35:00-04:00,0.14,0.14,0.14,0.14,10,0.14,1,
O:SPY240322P00470000,1710438120000,2024-03-14T13:42:00-04:00,0.14,0.14,0.14,0.14,10,0.14,1,
O:SPY240322P00470000,1710443340000,2024-03-14T15:09:00-04:00,0.15,0.15,0.15,0.15,1,0.15,1,
O:SPY240322P00470000,1710443640000,2024-03-14T15:14:00-04:00,0.13,0.13,0.13,0.13,5,0.13,1,
O:SPY240322P00470000,1710443880000,2024-03-14T15:18:00-04:00,0.15,0.15,0.15,0.15,201,0.15,2,
O:SPY240322P00470000,1710443940000,2024-03-14T15:19:00-04:00,0.17,0.17,0.17,0.17,1,0.17,1,
O:SPY240322P00470000,1710444780000,2024-03-14T15:33:00-04:00,0.18,0.18,0.18,0.18,1,0.18,1,
O:SPY240322P00470000,1710445200000,2024-03-14T15:40:00-04:00,0.18,0.18,0.18,0.18,1,0.18,1,
O:SPY240322P00470000,1710445260000,2024-03-14T15:41:00-04:00,0.18,0.18,0.18,0.18,7,0.18,1,
O:SPY240322P00470000,1710445560000,2024-03-14T15:46:00-04:00,0.16,0.16,0.16,0.16,15,0.16,1,
O:SPY240322P00470000,1710445740000,2024-03-14T15:49:00-04:00,0.16,0.16,0.16,0.16,5,0.16,2,
O:SPY240322P00470000,1710509400000,2024-03-15T09:30:00-04:00,0.12,0.12,0.12,0.12,15,0.12,3,
O:SPY240322P00470000,1710509580000,2024-03-15T09:33:00-04:00,0.11,0.11,0.11,0.11,41,0.11,7,
O:SPY240322P00470000,1710509880000,2024-03-15T09:38:00-04:00,0.11,0.11,0.11,0.11,15,0.11,2,
O:SPY240322P00470000,1710510180000,2024-03-15T09:43:00-04:00,0.11,0.11,0.11,0.11,50,0.11,4,
O:SPY240322P00470000,1710510360000,2024-03-15T09:46:00-04:00,0.11,0.11,0.11,0.11,25,0.11,1,
O:SPY240322P00470000,1710510840000,2024-03-15T09:54:00-04:00,0.12,0.12,0.12,0.12,2,0.12,1,
O:SPY240322P00470000,1710510900000,2024-03-15T09:55:00-04:00,0.12,0.12,0.12,0.12,1,0.12,1,
O:SPY240322P00470000,1710511200000,2024-03-15T10:00:00-04:00,0.12,0.12,0.12,0.12,1,0.12,1,
O:SPY240322P00470000,1710511620000,2024-03-15T10:07:00-04:00,0.12,0.12,0.12,0.12,10,0.12,7,
O:SPY240322P00470000,1710511860000,2024-03-15T10:11:00-04:00,0.12,0.12,0.12,0.12,1,0.12,1,
O:SPY240322P00470000,1710512040000,2024-03-15T10:14:00-04:00,0.11,0.11,0.11,0.11,1,0.11,1,
O:SPY240322P00470000,1710512100000,2024-03-15T10:15:00-04:00,0.11,0.11,0.11,0.11,14,0.11,7,
O:SPY240322P00470000,1710512220000,2024-03-15T10:17:00-04:00,0.11,0.11,0.11,0.11,1,0.11,1,
O:SPY240322P00470000,1710512580000,2024-03-15T10:23:00-04:00,0.1,0.1,0.1,0.1,1000,0.1,4,
O:SPY240322P00470000,1710513060000,2024-03-15T10:31:00-04:00,0.1,0.1,0.1,0.1,3,0.1,1,
O:SPY240322P00470000,1710513360000,2024-03-15T10:36:00-04:00,0.1,0.1,0.1,0.1,5,0.1,1,
O:SPY240322P00470000,1710513780000,2024-03-15T10:43:00-04:00,0.09,0.09,0.09,0.09,22,0.09,2,
O:SPY240322P00470000,1710513900000,2024-03-15T10:45:00-04:00,0.08,0.08,0.08,0.08,1,0.08,1,
O:SPY240322P00470000,1710514320000,2024-03-15T10:52:00-04:00,0.08,0.08,0.08,0.08,1,0.08,1,
O:SPY240322P00470000,1710514620000,2024-03-15T10:57:00-04:00,0.08,0.08,0.08,0.08,1,0.08,1,
O:SPY240322P00470000,1710515280000,2024-03-15T11:08:00-04:00,0.09,0.09,0.09,0.09,10,0.09,2,
O:SPY240322P00470000,1710516120000,2024-03-15T11:22:00-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240322P00470000,1710519300000,2024-03-15T12:15:00-04:00,0.09,0.09,0.09,0.09,25,0.09,1,
O:SPY240322P00470000,1710519540000,2024-03-15T12:19:00-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240322P00470000,1710519600000,2024-03-15T12:20:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240322P00470000,1710520380000,2024-03-15T12:33:00-04:00,0.1,0.1,0.09,0.09,4,0.095,2,
O:SPY240322P00470000,1710520980000,2024-03-15T12:43:00-04:00,0.1,0.1,0.1,0.1,2,0.1,1,
O:SPY240322P00470000,1710521700000,2024-03-15T12:55:00-04:00,0.11,0.11,0.11,0.11,1,0.11,1,
O:SPY240322P00470000,1710522240000,2024-03-15T13:04:00-04:00,0.12,0.12,0.12,0.12,1,0.12,1,
O:SPY240322P00470000,1710522840000,2024-03-15T13:14:00-04:00,0.1,0.1,0.1,0.1,27,0.1,1,
O:SPY240322P00470000,1710525480000,2024-03-15T13:58:00-04:00,0.09,0.09,0.09,0.09,5,0.09,1,
O:SPY240322P00470000,1710528360000,2024-03-15T14:46:00-04:00,0.09,0.09,0.09,0.09,5,0.09,1,
O:SPY240322P00470000,1710530460000,2024-03-15T15:21:00-04:00,0.07,0.07,0.07,0.07,1,0.07,1,
O:SPY240322P00470000,1710532080000,2024-03-15T15:48:00-04:00,0.07,0.07,0.07,0.07,2,0.07,1,
