option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240322P00470000,2024-03-11,1710163814000,2024-03-11T09:30:14-04:00,0.28,0.28,0.28,0.28,25,0.28,1,
O:SPY240322P00470000,2024-03-11,1710163997000,2024-03-11T09:33:17-04:00,0.29,0.29,0.29,0.29,25,0.29,3,
O:SPY240322P00470000,2024-03-11,1710164022000,2024-03-11T09:33:42-04:00,0.28,0.28,0.28,0.28,148,0.28,1,
O:SPY240322P00470000,2024-03-11,1710165161000,2024-03-11T09:52:41-04:00,0.29,0.29,0.29,0.29,9,0.29,1,
O:SPY240322P00470000,2024-03-11,1710166157000,2024-03-11T10:09:17-04:00,0.32,0.32,0.32,0.32,1,0.32,1,
O:SPY240322P00470000,2024-03-11,1710166629000,2024-03-11T10:17:09-04:00,0.31,0.31,0.31,0.31,1,0.31,1,
O:SPY240322P00470000,2024-03-11,1710166700000,2024-03-11T10:18:20-04:00,0.31,0.31,0.31,0.31,4,0.31,1,
O:SPY240322P00470000,2024-03-11,1710166810000,2024-03-11T10:20:10-04:00,0.29,0.29,0.29,0.29,20,0.29,2,
O:SPY240322P00470000,2024-03-11,1710168094000,2024-03-11T10:41:34-04:00,0.31,0.31,0.31,0.31,1,0.31,1,
O:SPY240322P00470000,2024-03-11,1710169977000,2024-03-11T11:12:57-04:00,0.29,0.29,0.29,0.29,5,0.29,1,
O:SPY240322P00470000,2024-03-11,1710170690000,2024-03-11T11:24:50-04:00,0.3,0.3,0.3,0.3,1,0.3,1,
O:SPY240322P00470000,2024-03-11,1710171416000,2024-03-11T11:36:56-04:00,0.28,0.28,0.28,0.28,1,0.28,1,
O:SPY240322P00470000,2024-03-11,1710171454000,2024-03-11T11:37:34-04:00,0.27,0.27,0.27,0.27,1,0.27,1,
O:SPY240322P00470000,2024-03-11,1710171900000,2024-03-11T11:45:00-04:00,0.27,0.27,0.27,0.27,1,0.27,1,
O:SPY240322P00470000,2024-03-11,1710172749000,2024-03-11T11:59:09-04:00,0.26,0.26,0.26,0.26,1,0.26,1,
