option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240322P00470000,2024-03-11,1710187078771,2024-03-11T15:57:58.771000-04:00,0.25,1,312,[232]
O:SPY240322P00470000,2024-03-11,1710186938316,2024-03-11T15:55:38.316000-04:00,0.25,1,302,[232]
O:SPY240322P00470000,2024-03-11,1710186938311,2024-03-11T15:55:38.311000-04:00,0.25,1,308,[236]
O:SPY240322P00470000,2024-03-11,1710186938213,2024-03-11T15:55:38.213000-04:00,0.25,1,302,[232]
O:SPY240322P00470000,2024-03-11,1710186938209,2024-03-11T15:55:38.209000-04:00,0.25,1,308,[236]
O:SPY240322P00470000,2024-03-11,1710186938109,2024-03-11T15:55:38.109000-04:00,0.25,1,302,[232]
O:SPY240322P00470000,2024-03-11,1710186938107,2024-03-11T15:55:38.107000-04:00,0.25,1,308,[236]
O:SPY240322P00470000,2024-03-11,1710186938006,2024-03-11T15:55:38.006000-04:00,0.25,1,302,[232]
O:SPY240322P00470000,2024-03-11,1710186938004,2024-03-11T15:55:38.004000-04:00,0.25,1,308,[236]
O:SPY240322P00470000,2024-03-11,1710186937901,2024-03-11T15:55:37.901000-04:00,0.25,1,302,[232]
O:SPY240322P00470000,2024-03-11,1710186937901,2024-03-11T15:55:37.901000-04:00,0.25,1,308,[236]
O:SPY240322P00470000,2024-03-11,1710186773868,2024-03-11T15:52:53.868000-04:00,0.26,1,300,[209]
O:SPY240322P00470000,2024-03-11,1710186333593,2024-03-11T15:45:33.593000-04:00,0.24,45,319,[209]
O:SPY240322P00470000,2024-03-11,1710186316716,2024-03-11T15:45:16.716000-04:00,0.24,1,308,[232]
O:SPY240322P00470000,2024-03-11,1710186133608,2024-03-11T15:42:13.608000-04:00,0.25,1,312,[232]
O:SPY240322P00470000,2024-03-11,1710183268733,2024-03-11T14:54:28.733000-04:00,0.24,1,301,[219]
O:SPY240322P00470000,2024-03-11,1710183004698,2024-03-11T14:50:04.698000-04:00,0.24,1,308,[232]
O:SPY240322P00470000,2024-03-11,1710182646427,2024-03-11T14:44:06.427000-04:00,0.24,1,304,[232]
O:SPY240322P00470000,2024-03-11,1710182481449,2024-03-11T14:41:21.449000-04:00,0.23,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710181880495,2024-03-11T14:31:20.495000-04:00,0.24,1,300,[232]
O:SPY240322P00470000,2024-03-11,1710180302202,2024-03-11T14:05:02.202000-04:00,0.24,1,312,[232]
O:SPY240322P00470000,2024-03-11,1710180272057,2024-03-11T14:04:32.057000-04:00,0.23,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710180272057,2024-03-11T14:04:32.057000-04:00,0.23,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710180272057,2024-03-11T14:04:32.057000-04:00,0.23,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710180272057,2024-03-11T14:04:32.057000-04:00,0.23,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710180272057,2024-03-11T14:04:32.057000-04:00,0.23,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710180272057,2024-03-11T14:04:32.057000-04:00,0.23,3,302,[233]
O:SPY240322P00470000,2024-03-11,1710179732166,2024-03-11T13:55:32.166000-04:00,0.24,1,304,[232]
O:SPY240322P00470000,2024-03-11,1710178335449,2024-03-11T13:32:15.449000-04:00,0.24,1,312,[232]
O:SPY240322P00470000,2024-03-11,1710177616913,2024-03-11T13:20:16.913000-04:00,0.25,1,303,[209]
O:SPY240322P00470000,2024-03-11,1710177566772,2024-03-11T13:19:26.772000-04:00,0.25,1,304,[232]
O:SPY240322P00470000,2024-03-11,1710175998127,2024-03-11T12:53:18.127000-04:00,0.25,1,302,[232]
O:SPY240322P00470000,2024-03-11,1710175302776,2024-03-11T12:41:42.776000-04:00,0.26,1,315,[209]
O:SPY240322P00470000,2024-03-11,1710174913574,2024-03-11T12:35:13.574000-04:00,0.27,1,312,[232]
O:SPY240322P00470000,2024-03-11,1710174874301,2024-03-11T12:34:34.301000-04:00,0.26,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710173770618,2024-03-11T12:16:10.618000-04:00,0.27,1,300,[232]
O:SPY240322P00470000,2024-03-11,1710172751075,2024-03-11T11:59:11.075000-04:00,0.26,1,303,[209]
O:SPY240322P00470000,2024-03-11,1710172749061,2024-03-11T11:59:09.061000-04:00,0.26,1,312,[232]
O:SPY240322P00470000,2024-03-11,1710171900556,2024-03-11T11:45:00.556000-04:00,0.27,1,304,[232]
O:SPY240322P00470000,2024-03-11,1710171454047,2024-03-11T11:37:34.047000-04:00,0.27,1,322,[232]
O:SPY240322P00470000,2024-03-11,1710171416489,2024-03-11T11:36:56.489000-04:00,0.28,1,308,[232]
O:SPY240322P00470000,2024-03-11,1710170690254,2024-03-11T11:24:50.254000-04:00,0.3,1,308,[233]
O:SPY240322P00470000,2024-03-11,1710169977804,2024-03-11T11:12:57.804000-04:00,0.29,5,309,[219]
O:SPY240322P00470000,2024-03-11,1710168094845,2024-03-11T10:41:34.845000-04:00,0.31,1,308,[232]
O:SPY240322P00470000,2024-03-11,1710166810101,2024-03-11T10:20:10.101000-04:00,0.29,10,302,[209]
O:SPY240322P00470000,2024-03-11,1710166810101,2024-03-11T10:20:10.101000-04:00,0.29,10,302,[209]
O:SPY240322P00470000,2024-03-11,1710166700129,2024-03-11T10:18:20.129000-04:00,0.31,4,313,[209]
O:SPY240322P00470000,2024-03-11,1710166629222,2024-03-11T10:17:09.222000-04:00,0.31,1,302,[233]
O:SPY240322P00470000,2024-03-11,1710166157674,2024-03-11T10:09:17.674000-04:00,0.32,1,308,[233]
O:SPY240322P00470000,2024-03-11,1710165161181,2024-03-11T09:52:41.181000-04:00,0.29,9,300,[227]
O:SPY240322P00470000,2024-03-11,1710164022546,2024-03-11T09:33:42.546000-04:00,0.28,148,312,[227]
O:SPY240322P00470000,2024-03-11,1710163997996,2024-03-11T09:33:17.996000-04:00,0.29,8,304,[209]
O:SPY240322P00470000,2024-03-11,1710163997995,2024-03-11T09:33:17.995000-04:00,0.29,12,304,[209]
