option,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315C00470000,1710164940000,2024-03-11T09:49:00-04:00,40.65,40.65,40.65,40.65,2,40.65,1,
O:SPY240315C00470000,1710165120000,2024-03-11T09:52:00-04:00,40.41,40.41,40.41,40.41,6,40.41,2,
O:SPY240315C00470000,1710165720000,2024-03-11T10:02:00-04:00,39.49,39.49,39.49,39.49,1,39.49,1,
O:SPY240315C00470000,1710166500000,2024-03-11T10:15:00-04:00,39.15,39.17,39.15,39.17,27,39.1581,3,
O:SPY240315C00470000,1710167160000,2024-03-11T10:26:00-04:00,39.15,39.15,39.15,39.15,1,39.15,1,
O:SPY240315C00470000,1710167400000,2024-03-11T10:30:00-04:00,39.88,39.92,39.88,39.92,26,39.8892,3,
O:SPY240315C00470000,1710167520000,2024-03-11T10:32:00-04:00,40.02,40.02,40.02,40.02,2,40.02,1,
O:SPY240315C00470000,1710169320000,2024-03-11T11:02:00-04:00,41.24,41.24,41.24,41.24,1,41.24,1,
O:SPY240315C00470000,1710174240000,2024-03-11T12:24:00-04:00,41.25,41.25,41.25,41.25,1,41.25,1,
O:SPY240315C00470000,1710177840000,2024-03-11T13:24:00-04:00,41.41,41.41,41.41,41.41,1,41.41,1,
O:SPY240315C00470000,1710178740000,2024-03-11T13:39:00-04:00,41.34,41.34,41.34,41.34,1,41.34,1,
O:SPY240315C00470000,1710184920000,2024-03-11T15:22:00-04:00,41.58,41.58,41.46,41.46,2,41.52,2,
O:SPY240315C00470000,1710186180000,2024-03-11T15:43:00-04:00,41.86,41.86,41.86,41.86,1,41.86,1,
O:SPY240315C00470000,1710250200000,2024-03-12T09:30:00-04:00,43.75,43.75,43.75,43.75,25,43.75,1,
O:SPY240315C00470000,1710250620000,2024-03-12T09:37:00-04:00,42.15,42.15,42.15,42.15,6,42.15,1,
O:SPY240315C00470000,1710251040000,2024-03-12T09:44:00-04:00,41.77,41.77,41.77,41.77,4,41.77,1,
O:SPY240315C00470000,1710251280000,2024-03-12T09:48:00-04:00,41.24,41.24,41.24,41.24,1,41.24,1,
O:SPY240315C00470000,1710251340000,2024-03-12T09:49:00-04:00,41.5,41.5,41.5,41.5,1,41.5,1,
O:SPY240315C00470000,1710252060000,2024-03-12T10:01:00-04:00,43.63,43.63,43.63,43.63,10,43.63,2,
O:SPY240315C00470000,1710252780000,2024-03-12T10:13:00-04:00,43.8,43.8,43.8,43.8,1,43.8,1,
O:SPY240315C00470000,1710252900000,2024-03-12T10:15:00-04:00,44.02,44.02,44.02,44.02,2,44.02,1,
O:SPY240315C00470000,1710253800000,2024-03-12T10:30:00-04:00,45.42,45.42,45.42,45.42,1,45.42,1,
O:SPY240315C00470000,1710253920000,2024-03-12T10:32:00-04:00,45.85,45.85,45.85,45.85,1,45.85,1,
O:SPY240315C00470000,1710255120000,2024-03-12T10:52:00-04:00,46.71,46.71,46.71,46.71,1,46.71,1,
O:SPY240315C00470000,1710257580000,2024-03-12T11:33:00-04:00,46.32,46.32,46.32,46.32,10,46.32,1,
O:SPY240315C00470000,1710259440000,2024-03-12T12:04:00-04:00,45.5,45.5,45.5,45.5,1,45.5,1,
O:SPY240315C00470000,1710261180000,2024-03-12T12:33:00-04:00,45.28,45.28,45.28,45.28,1,45.28,1,
O:SPY240315C00470000,1710261540000,2024-03-12T12:39:00-04:00,44.85,44.86,44.85,44.86,5,44.852,2,
O:SPY240315C00470000,1710261900000,2024-03-12T12:45:00-04:00,44.4,44.4,44.4,44.4,2,44.4,1,
O:SPY240315C00470000,1710263040000,2024-03-12T13:04:00-04:00,44.36,44.38,44.36,44.38,11,44.3618,2,
O:SPY240315C00470000,1710263340000,2024-03-12T13:09:00-04:00,44.09,44.09,44.09,44.09,1,44.09,1,
O:SPY240315C00470000,1710265140000,2024-03-12T13:39:00-04:00,45.68,45.68,45.68,45.68,1,45.68,1,
O:SPY240315C00470000,1710266040000,2024-03-12T13:54:00-04:00,45.6,45.6,45.6,45.6,2,45.6,1,
